OwnX,OwnY,OwnW,OwnDir,OwnDist,,,
1,-82,150,-179,133,,,
1,-82,150,-179,133,,,
1,-82,150,-179,133,,,
1,-82,150,-179,133,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,-0.001
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-83,150,-179,1,,,
1,-83,150,-179,1,,,
1,-83,150,-179,1,,,
1,-82,151,-179,1,,,
1,-82,151,-179,1,,,
1,-82,151,-179,1,,,
1,-82,151,-179,1,,,
1,-83,150,-179,134,,,
1,-83,150,-179,134,,,
1,-83,150,-179,134,,,
1,-82,150,-179,134,,,
1,-82,150,-179,134,,,
1,-82,150,-179,134,,,
1,-83,150,-179,1,,,
1,-83,150,-179,1,,,
1,-83,150,-179,1,,,
0,-83,150,-180,1,,,
0,-83,150,-180,1,,,
0,-83,150,-180,1,,,
0,-83,150,-180,1,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-83,150,-179,1,,,
1,-83,150,-179,1,,,
1,-83,150,-179,1,,,
1,-83,150,-179,1,,,
1,-83,150,-179,1,,,
1,-83,150,-179,1,,,
0,-83,150,-180,133,,,
0,-83,150,-180,133,,,
0,-83,150,-180,133,,,
0,-83,150,-180,133,,,
1,-82,151,-179,134,,,
1,-82,151,-179,134,,,
1,-82,151,-179,134,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
0,-83,150,-180,1,,,
0,-83,150,-180,1,,,
0,-83,150,-180,1,,,
1,-83,150,-179,133,,,
1,-83,150,-179,133,,,
1,-83,150,-179,133,,,
1,-83,150,-179,133,,,
1,-82,150,-179,134,,,
1,-82,150,-179,134,,,
1,-82,150,-179,134,,,
1,-83,150,-179,134,,,
1,-83,150,-179,134,,,
1,-83,150,-179,134,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-83,150,-179,1,,,
1,-83,150,-179,1,,,
1,-83,150,-179,1,,,
1,-83,150,-179,133,,,
1,-83,150,-179,133,,,
1,-83,150,-179,133,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-82,150,-179,1,,,
1,-83,150,-179,1,,,
1,-83,150,-179,1,,,
1,-83,150,-179,1,,,
0,-83,150,-180,1,,,
